"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C6,C7,C8","0,1uF","-- verschiedene Werte --","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","6",""
"C3,C5","22pF","https://www.aliexpress.com/item/32971478818.html","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"CN1","Parallel1","https://www.aliexpress.com/item/1005008071308576.html","MyLibrary:MICMA10B","1",""
"CN2","PC1-3","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"CN3","Parallel2","https://www.aliexpress.com/item/1005008071308576.html","MyLibrary:MICMA10B","1",""
"D1","LED","https://www.aliexpress.com/item/1005005708510866.html","LED_THT:LED_D3.0mm","1",""
"J3","ROM Select","https://www.aliexpress.com/item/1005005992030371.html","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J5","BANK Switch","https://www.aliexpress.com/item/1005005992030371.html","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J6","SPI","https://www.aliexpress.com/item/4000303366348.html","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"R2","10K","https://www.aliexpress.com/item/1005001627995396.html","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"R3","560R","https://www.aliexpress.com/item/1005001627995396.html","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"RN1","6x10K","https://www.aliexpress.com/item/1005005845983830.html","Resistor_THT:R_Array_SIP7","1",""
"SW1","Button 6x6,5mm","https://www.aliexpress.com/item/1005003168146560.html","MyLibrary:JTP-1130","1",""
"U1","6502 Socket","http://www.6502.org/documents/datasheets/mos/mos_6500_mpu_mar_1980.pdf","Package_DIP:DIP-40_W15.24mm_Socket","1","Nicht bestücken"
"U2","2x20 CONN HDR","https://www.digikey.de/de/products/detail/mill-max-manufacturing-corp/334-40-140-00-020000/7746412","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","1","Nicht bestücken"
"U3","EPROM","https://www.aliexpress.com/item/1005003414421776.html","Package_LCC:PLCC-32_THT-Socket","1",""
"U4","W65C21N (PIA)","https://www.westerndesigncenter.com/wdc/w65c21-chip.php","Package_DIP:DIP-40_W15.24mm_Socket","1",""
"U5","74AHCT273N","https://www.ti.com/lit/ds/symlink/sn74ahct273.pdf","Package_DIP:DIP-20_W7.62mm","1",""
"U6","ATmega328-PU","https://ww1.microchip.com/downloads/en/DeviceDoc/ATmega48A-PA-88A-PA-168A-PA-328-P-DS-DS40002061B.pdf","Package_DIP:DIP-28_W7.62mm","1",""
"U7","ATF16V8B(QL)","https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-0364-PLD-ATF16V8B-8BQ-8BQL-Datasheet.pdf","Package_DIP:DIP-20_W7.62mm","1",""
"U8","AS6C4008-55","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf","Package_SO:SSOP-32_11.305x20.495mm_P1.27mm","1",""
"Y1","22.1184 MHz","https://www.aliexpress.com/item/1005006870244655.html","Crystal:Crystal_HC49-4H_Vertical","1",""
